FID,name,stadt,plz,strasse,hausnr,etage,raumnummer,oeffnungszeiten,kategorie,preis,wickeln,standort_beschreibung,zustand,einschraenkungen,mail,website,telefon,zustaendiges_referat,erzeugt_bearbeitet,din_18040_1,toilette_fuer_alle,eignung_blindenhunde,eingangstuer_typ,eingangstuer_glasmarkierung,eingangstuer_klingel_taster,eingangstuer_leichte_fuehrung,eingangstuer_radar_schluessel,eingangstuer_euro_schluessel,eingangstuer_wendekreis,eingangstuer_breite,rampe,rampe_steigung,treppe_vorhanden,treppe_antirutsch,treppe_blindenschrift,treppe_gelaender,treppe_kontrast_visuell,treppe_kontrast_taktil,treppe_stufenanzahl,treppe_stufenhoehe,rollstuhllift,eingangsbereich_beschreibung,gebaeudeinneres_gangbreite,gebaeudeinneres_induktionsschleifen,gebaeudeinneres_fuehrungsrillen,gebaeudeinneres_ruhig,gebaeudeinneres_beleuchtet,aufzug_vorhanden,aufzug_tuerbreite,aufzug_tiefe,aufzug_breite,wctuer_typ,wctuer_glasmarkierung,wctuer_klingel_taster,wctuer_leichte_fuehrung,wctuer_radar_schluessel,wctuer_euro_schluessel,wctuer_wendekreis,wctuer_breite,wctuer_bemerkung,wc_badewanne,wc_dusche,wc_spiegel,wc_gelaender,wc_deckenlifter,wc_standlifter,wc_liege,wc_spiegelhoehe,wc_handtuchspenderhoehe,wc_seifenspender_hoehe,wc_waschbecken_oberkante,wc_waschbecken_hoehe_unterfahrbar,wc_waschbecken_tiefe_unterfahrbar,wc_buegel_rechts,wc_buegel_links,wc_buegel_distanz,wc_buegelhoehe,wc_sitzhoehe,wc_platz_davor,wc_platz_rechts,wc_platz_links,wc_spuelknopf_hinten,wc_spuelknopf_rechts,wc_spuelknopf_links,wc_spuelknopf_hoehe,wc_position_notruf,wc_hoehe_notruf,wc_bermerkung,foto,shape
wc_finder_opendata.42,Boazn,München,80538,Karl-Müller-Weg,2,EG,,samstags 12:00 Uhr bis 3:00 Uhr; sonntags 12:00 Uhr bis 1:00 Uhr; wochentags 16:00 Uhr bis 1:00 Uhr,männlich,,0,,voll funktionsfähig,,im-gw-s.kom@muenchen.de,https://www.boazn.de,0179-4944395,Kommunalreferat,07.02.2024 / 07.02.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (692532.9000008577 5334179.76999791)
wc_finder_opendata.43,Boazn,München,80538,Karl-Müller-Weg,2,EG,,samstags 12:00 Uhr bis 3:00 Uhr; sonntags 12:00 Uhr bis 1:00 Uhr; wochentags 16:00 Uhr bis 1:00 Uhr,weiblich,,0,,voll funktionsfähig,,im-gw-s.kom@muenchen.de,https://www.boazn.de,0179-4944395,Kommunalreferat,07.02.2024 / 07.02.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (692532.0600008578 5334176.819997911)
wc_finder_opendata.44,Cafe Krönlein,München,81541,Am Nockherberg,8,EG,,dienstags bis sonntags 11:00 Uhr bis 23:00 Uhr,divers/unisex,,0,,voll funktionsfähig,,im-gw-s.kom@muenchen.de,https://www.kroenlein.com,0177-4677131,Kommunalreferat,07.02.2024 / 07.02.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (692107.7000008486 5333025.209997941)
wc_finder_opendata.45,"Öffentliche Toilette Max-Hirschberg-Weg, Bahndeckel",München,81373,,,,,"Täglich, 06.00-22.00 Uhr",divers/unisex und barrierefrei,0,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27216,Baureferat,04.02.2026 / 19.03.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (688931.099600781 5333679.603798136)
wc_finder_opendata.46,Öffentliche Toilette Elisenstraße,München,80335,,,,,"Täglich, 06.00-22.00 Uhr",divers/unisex und barrierefrei,0,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27216,Baureferat,04.02.2026 / 09.03.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (690487.3715008132 5335273.65469804)
wc_finder_opendata.47,Öffentliche Toilette U-Bahnhof Am Hart D,München,80937,Knorrstr. / FIZ,,1.UG,13,Täglich 06:00 Uhr bis 24:00 Uhr,weiblich,0,0,,defekt oder nicht zugänglich,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,26.03.2024 / 02.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (691111.0900008251 5341271.99999799)
wc_finder_opendata.48,Öffentliche Toilette U-Bahnhof Am Hart B,München,80937,Knorrstr. / FIZ,,1.UG,12,Täglich 06:00 Uhr bis 24:00 Uhr,barrierefrei,0,0,,defekt oder nicht zugänglich,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,26.03.2024 / 02.03.2026,1,0,,,,,,,,,,,,,,,,,,,,,,Türöffnung,0,0,0,1,1,100,160,100,Öffnet nach außen/Türanschlag links,,0,1,1,1,,100,,0,0,1,0,0,0,0,117,,,85,73,,1,1,70,86,52,260,75,80,1,0,0,120,nicht vorhanden,,,,POINT (691111.0900008251 5341271.99999799)
wc_finder_opendata.49,Öffentliche Toilette U-Bahnhof Dülferstraße B,München,80933,Nordhaideplatz,,1.UG,56,Täglich 06:00 Uhr bis 24:00 Uhr,barrierefrei,0,0,,defekt oder nicht zugänglich,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,26.03.2024 / 02.03.2026,1,0,,,,,,,,,,,,,,,,,,,,,,Türöffnung,0,0,0,1,1,100,120,160,Öffnet nach außen/Türanschlag links,,0,0,1,1,,100,,0,0,1,0,0,0,0,120,,,81,69,,1,1,67,85,51,130,77,107,1,0,0,120,nicht vorhanden,,,,POINT (690399.8900008097 5343073.369998032)
wc_finder_opendata.50,Öffentliche Toilette U-Bahnhof Am Hart H,München,80937,Knorrstr. / FIZ,,1.UG,11,Täglich 06:00 Uhr bis 24:00 Uhr,männlich,0,0,,defekt oder nicht zugänglich,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,26.03.2024 / 02.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (691111.0900008251 5341271.99999799)
wc_finder_opendata.51,Öffentliche Toilette U-Bahnhof Dülferstraße D,München,80933,Nordhaideplatz,,1.UG,57,Täglich 06:00 Uhr bis 24:00 Uhr,weiblich,0,0,,defekt oder nicht zugänglich,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,26.03.2024 / 02.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (690399.8900008097 5343073.369998032)
wc_finder_opendata.52,Öffentliche Toilette U-Bahnhof Dülferstraße H,München,80933,Nordhaideplatz,,1.UG,54,Täglich 06:00 Uhr bis 24:00 Uhr,männlich,0,0,,defekt oder nicht zugänglich,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,26.03.2024 / 02.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (690399.8900008097 5343073.369998032)
wc_finder_opendata.53,"Öffentliche Toilette ""Hogenbergplatz, Fröbelplatz""",München,80686,,,,,ganzjährig täglich 06:00 -22:00 Uhr,divers/unisex und barrierefrei,0,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,BAU-G,13.02.2026 / 13.02.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (686515.3925007323 5334600.404898271)
wc_finder_opendata.54,Toilettenanlage Markt am Elisabethplatz,München,80796,Elisabethplatz,"Haus 1, Stand 22",EG,,Mo-Sa: 07:00-17:45 Uhr,barrierefrei,,0,"Die Anlage befindet sich im Haus 1, dem Eis & Brot Standl (Nr. 22) und ist mit einem Euro-WC-Schlüssel zugänglich.",voll funktionsfähig,,maerkte@muenchen.de,https://maerkte-muenchen.de/unsere-maerkte/elisabethmarkt.html,+49 (0)89 233-738500 ,Kommunalreferat,09.02.2026 / 09.02.2026,0,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,1,,,,0,0,0,0,1,0,1,,,,,,,0,0,,,,,,,0,0,0,,,,,,POINT (691406.5884008325 5336927.653697979)
wc_finder_opendata.55,Öffentliche Toilette Johannisplatz,München,81667,,,,,"Täglich, 06.00-22.00 Uhr",divers/unisex und barrierefrei,0,0,,defekt oder nicht zugänglich,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27216,Baureferat,04.02.2026 / 04.02.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (693351.8691008759 5334495.722297854)
wc_finder_opendata.56,"Öffentliche Toilette ""Walchenseeplatz""",München,81539,,,,,ganzjährig täglich 06:00 -22:00 Uhr,divers/unisex und barrierefrei,0,1,,voll funktionsfähig,, service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,BAU-G,12.09.2023 / 13.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (692280.6590008526 5332013.388597932)
wc_finder_opendata.57,"Öffentliche Toilette ""Theresienwiese (beim U-Bahnhof)""",München,80339,,,,,"Täglich, 06.00-22.00 Uhr",divers/unisex und barrierefrei,0,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27216,BAU-G,28.03.2023 / 13.01.2026,1,1,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (689836.2111007996 5334456.00839808)
wc_finder_opendata.58,"Öffentliche Toilette ""Partnachplatz""",München,81373,,,,,ganzjährig täglich 06:00 - 22:00 Uhr,divers/unisex und barrierefrei,0,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,BAU-G,12.09.2023 / 13.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (688016.2722007626 5332371.7718981905)
wc_finder_opendata.59,Öffentliche Toilette Arnulfpark,München,80636,,,,,"Täglich, 06.00-22.00 Uhr",divers/unisex und barrierefrei,0,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27216,Baureferat,02.07.2025 / 13.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (689099.6331007842 5335337.494098124)
wc_finder_opendata.60,"Toilettenanlage ""Tierparkparkplatz / Flaucher""",München,81543,,,,,ganzjährig täglich 06:00 -22:00 Uhr,divers/unisex und barrierefrei,0,0,"Toilettenanlage ""Toilette für alle"", barrierefrei | Bild: http://badsyip001.srv.muenchen.de/DATEN/einrichtungen/wc/bild/1126.jpg",voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,BAU-J,28.03.2023 / 13.01.2026,1,1,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (690052.6583008049 5330750.076898075)
wc_finder_opendata.61,"Öffentliche Toilette ""Michaeli Anger""",München,81671,,,,,ganzjährig täglich 06:00 -22:00 Uhr,divers/unisex und barrierefrei,0,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,BAU-G,12.09.2023 / 13.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (695621.6114009283 5333227.395797696)
wc_finder_opendata.62,"Öffentliche Toilette ""Valpichlerstraße""",München,80686,,,,,ganzjährig täglich 06:00 -22:00 Uhr,divers/unisex und barrierefrei,0,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,BAU-G,12.09.2023 / 13.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (685745.3508007175 5334631.712298309)
wc_finder_opendata.63,"Öffentliche Toilette ""Im Gefilde""",München,81739,,,,,ganzjährig täglich 06:00 -22:00 Uhr,divers/unisex und barrierefrei,0,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,BAU-G,12.09.2023 / 13.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (698004.6432009863 5329829.64639752)
wc_finder_opendata.64,"Öffentliche Toilette ""Goldschmiedplatz""",München,80933,Schleißheimerstraße,520,,,ganzjährig täglich 06:00 -22:00 Uhr,divers/unisex und barrierefrei,0,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,BAU-G,12.09.2023 / 13.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (690316.3510008077 5343855.363398035)
wc_finder_opendata.65,"Öffentliche Toilette ""Eduard-Schmid-Straße""",München,81541,Eduard-Schmid-Straße,36,,,ganzjährig täglich 06:00 - 22:00 Uhr,barrierefrei,0,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,BAU-G,12.09.2023 / 13.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,"https://geoportal.muenchen.de/resource/download/gsm/dokumente/wc_finder/bild/<img src=""https://karten.muenchen.de/resources/gsm/__docs/wc_finder/bild/eduard_schmid_str.jpg"" style=""max-width:100%"">",POINT (691457.2283008343 5333265.533397983)
wc_finder_opendata.66,"Öffentliche Toilette ""Hirschgarten""",München,80639,"Grünfläche Grillzone, Skateanlage",,,,"ganzjährig, täglich, 06.00- 22.00 Uhr, ",divers/unisex und barrierefrei,0,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27216,BAU-G,28.03.2023 / 13.01.2026,1,1,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (687157.9609007448 5335824.462498234)
wc_finder_opendata.67,"Öffentliche Toiletten ""Brudermühlstraße""",München,81371,,,,,06:00 - 22.00 Uhr,divers/unisex und barrierefrei,0,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,Baureferat Gartenbau,24.04.2024 / 13.01.2026,0,1,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,0,0,0,,,,,,POINT (689209.4641007872 5331921.104398123)
wc_finder_opendata.68,"Öffentliche Toilettenanlage ""Weißenseepark""",München,81539,,,,,ganzjährig täglich 06:00 -22:00 Uhr,divers/unisex und barrierefrei,0,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089 54369744,BAU-G,12.09.2023 / 13.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (692440.3881008562 5331488.479697922)
wc_finder_opendata.69,"Öffentliche Toilette ""Georg-Freundorfer-Platz""",München,80339,,,,,ganzjährig täglich 06:00 - 22:00 Uhr,divers/unisex und barrierefrei,0,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27-216,BAU-G,12.09.2023 / 13.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (688851.9668007793 5334313.97539814)
wc_finder_opendata.70,"Öffentliche Toilette, Kustermannpark",München,81669,,,,,"Täglich, 08.00-20.00 Uhr",divers/unisex und barrierefrei,0,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,+49 2736 27216,Baureferat,27.11.2025 / 09.01.2026,1,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,mind. 100,,,,,,0,0,,,,,mind. 90,mind. 90,0,0,0,,in der Nähe des WC-Beckens angebracht,,,,POINT (693576.8977008812 5333145.153997843)
wc_finder_opendata.71,Öffentliche Toilette Kolumbusplatz H,München,81541,Kolumbusplatz / Dollmannstr.,,1.UG,,Täglich 06:00 Uhr bis 24:00 Uhr,männlich,0.60000002,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,22.12.2025 / 22.12.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (691792.4700008417 5332759.349997962)
wc_finder_opendata.72,Öffentliche Toilette Kolumbusplatz D,München,81541,Kolumbusplatz / Dollmannstr.,,1.UG,,Täglich 06:00 Uhr bis 24:00 Uhr,weiblich,0.60000002,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,22.12.2025 / 22.12.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (691792.4700008417 5332759.349997962)
wc_finder_opendata.73,Öffentliche Toilette Kolumbusplatz B,München,81541,Kolumbusplatz / Dollmannstr.,,1.UG,,Täglich 06:00 Uhr bis 24:00 Uhr,barrierefrei,0,0,,voll funktionsfähig,Kein Aufzug! Nicht für Rollstuhlfahrer geeignet.,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,22.12.2025 / 22.12.2025,1,0,,,,,,,,,,,,1,1,0,1,1,1,,,,,Türöffnung,0,0,0,1,0,,,,Öffnet nach außen/Türanschlag rechts,1,0,1,0,1,,95,,0,0,1,0,0,0,0,106,84,,,verstellbar,,1,1,67,84,47,,121,96,1,1,1,79,rechts & links,84,,,POINT (691785.4700008417 5332763.409997962)
wc_finder_opendata.74,Öffentliche Toilette U-Bahnhof Karl-Preis-Platz H,München,81671,Karl-Preis-Platz,,1.UG,,Täglich 06:00 Uhr bis 24:00 Uhr,männlich,0.60000002,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,19.12.2025 / 19.12.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (694214.1600008957 5332766.419997799)
wc_finder_opendata.75,Öffentliche Toilette U-Bahnhof Karl-Preis-Platz D,München,81671,Karl-Preis-Platz,,1.UG,,Täglich 06:00 Uhr bis 24:00 Uhr,weiblich,0.60000002,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,19.12.2025 / 19.12.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (694214.1600008957 5332766.419997799)
wc_finder_opendata.76,Öffentliche Toilette U-Bahnhof Karl-Preis-Platz B,München,81671,Karl-Preis-Platz,,1.UG,,Täglich 06:00 Uhr bis 24:00 Uhr,barrierefrei,0,0,,voll funktionsfähig,Kein Aufzug! Nicht für Rollstuhlfahrer geeignet,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,19.12.2025 / 19.12.2025,1,0,,Öffnet nach innen/Türanschlag links,1,0,1,0,0,,91,,,1,1,0,1,1,1,,,,,Türöffnung,0,0,0,1,0,,,,Öffnet nach außen/Türanschlag links,0,0,1,0,1,,105,,0,0,1,0,0,0,0,99,90,,78,70,35,1,1,67.5,88,46,,89.5,155,1,1,1,72,rechts & vor,85,,,POINT (694214.1600008957 5332766.419997799)
wc_finder_opendata.77,Öffentliche Toilette Sendlinger Tor B,München,80336,Herzog-Wilhelm-Straße,,EG,,Täglich 06:00 Uhr bis 24:00 Uhr,barrierefrei,0,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,11.03.2024 / 11.11.2025,1,1,,,1,0,1,0,1,,94,,,0,,,,,,,,,,110,0,0,1,1,,,,,Öffnet nach außen/Türanschlag links,,0,1,0,1,,94,,0,0,1,0,1,0,1,108,103,,,verstellbar,40,1,1,58,76,46,300,133,136,1,1,1,73,rechts,78 / 33,,,POINT (691025.3900008248 5334404.429998008)
wc_finder_opendata.78,Öffentliche Toilette U-Bahnhof Odeonsplatz,München,80539,Odeonsplatz/Brienner Str./Hofgartenstr.,,1.UG,,,weiblich,0.60000002,,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,11.03.2024 / 11.11.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (691777.5100008409 5335383.199997959)
wc_finder_opendata.79,Öffentliche Toilette U-Bahnhof Odeonsplatz,München,80539,Odeonsplatz/Brienner Str./Hofgartenstr.,,1.UG,,,männlich,0.60000002,,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,11.03.2024 / 11.11.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (691777.5100008409 5335383.199997959)
wc_finder_opendata.80,Öffentliche Toilette U-Bahnhof Josephsplatz B,München,80798,Görresstr.,,1.UG,,Täglich 06:00 Uhr bis 24:00 Uhr,barrierefrei,0,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,11.11.2025 / 11.11.2025,1,0,,Öffnet nach außen/Türanschlag links,1,0,1,0,0,,93,,,1,1,0,1,1,1,2,16,0,,Türöffnung,0,0,0,1,0,,,,Öffnet nach außen/Türanschlag links,0,0,1,0,1,,118,,0,0,1,0,0,0,0,108,89,,80,70,36,1,1,67.5,82,47,123,89,77,1,1,1,78,rechts & links,84,,,POINT (690865.780000821 5336682.529998016)
wc_finder_opendata.81,Öffentliche Toilette U-Bahnhof Josephsplatz H,München,80798,Görresstr.,,1.UG,,Täglich 06:00 Uhr bis 24:00 Uhr,männlich,0.60000002,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,11.11.2025 / 11.11.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (690865.780000821 5336682.529998016)
wc_finder_opendata.82,Öffentliche Toilette Sperrengeschoss Hauptbahnhof H,München,80335,Arnulfstraße,,1.UG,375,Täglich 06:00 Uhr bis 24:00 Uhr,männlich,0,0,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,26.03.2024 / 11.11.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (690514.4000008139 5335115.599998039)
wc_finder_opendata.83,Öffentliche Toilette U-Bahnhof Josephsplatz D,München,80798,Görresstr.,,1.UG,,Täglich 06:00 Uhr bis 24:00 Uhr,weiblich,0.60000002,1,,voll funktionsfähig,,service@hering-sanikonzept.de,https://www.wc-fresh.com,089-54369744,Hering Sanikonzept GmbH,11.11.2025 / 11.11.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (690865.780000821 5336682.529998016)
